	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
3523	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
3524	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3525	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3526	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
3527	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
3528	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
3529	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
3530	University of Reims	Computer Science	$1,400		2018-2019	3rd	
3531	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
3532	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
3533	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3534	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3535	Baylor University (BU)	History	$17,500	0.88	2018-2019		
3536	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
3537	University of Arizona (U of A)		$20,150	0.97	2019-2020		
3538	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
3539	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
3540	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3541	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3542	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
3543	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
3544	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
3545			$39,000		2018-2019	4th	
3546			$39,000		2018-2019	4th	
3547	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
3548	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
3549	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
3550	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
3551	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
3552	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
3553	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
3554	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
3555	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
3556	FAMU	COPPS	$16,183		2018-2019		
3557	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
3558	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
3559	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
3560	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
3561	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
3562	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
3563	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
3564	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
3565	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
3566	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
3567	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
3568	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
3569	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
3570	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
3571	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
3572	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
3573	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
3574	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3575	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3576	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
3577	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
3578	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
3579	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
3580	University of Reims	Computer Science	$1,400		2018-2019	3rd	
3581	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
3582	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
3583	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3584	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3585	Baylor University (BU)	History	$17,500	0.88	2018-2019		
3586	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
3587	University of Arizona (U of A)		$20,150	0.97	2019-2020		
3588	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
3589	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
3590	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3591	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3592	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
3593	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
3594	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
3595			$39,000		2018-2019	4th	
3596			$39,000		2018-2019	4th	
3597	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
3598	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
3599	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
3600	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
3601	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
3602	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
3603	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
3604	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
3605	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
3606	FAMU	COPPS	$16,183		2018-2019		
3607	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
3608	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
3609	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
3610	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
3611	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
3612	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
3613	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
3614	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
3615	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
3616	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
3617	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
3618	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
3619	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
3620	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
3621	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
3622	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
3623	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
3624	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3625	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3626	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
3627	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
3628	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
3629	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
3630	University of Reims	Computer Science	$1,400		2018-2019	3rd	
3631	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
3632	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
3633	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3634	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3635	Baylor University (BU)	History	$17,500	0.88	2018-2019		
3636	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
3637	University of Arizona (U of A)		$20,150	0.97	2019-2020		
3638	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
3639	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
3640	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3641	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3642	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
3643	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
3644	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
3645			$39,000		2018-2019	4th	
3646			$39,000		2018-2019	4th	
3647	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
3648	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
3649	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
3650	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
3651	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
3652	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
3653	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
3654	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
3655	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
3656	FAMU	COPPS	$16,183		2018-2019		
3657	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
3658	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
3659	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
3660	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
3661	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
3662	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
3663	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
3664	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
3665	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
3666	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
